10/11/2020, 16:28:19|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:19|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:19|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:19|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:19|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:19|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:19|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:19|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:19|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:19|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:19|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:19|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:19|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:20|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:20|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:20|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:20|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:20|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:20|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:20|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:20|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:20|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:20|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:20|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:20|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:20|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:20|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:20|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:20|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:20|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:20|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:20|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:20|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:20|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:20|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:20|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:20|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:20|('127.0.0.1', 54402)|Dra: 
10/11/2020, 16:28:58|('127.0.0.1', 54404)|sad: das
10/11/2020, 16:29:04|('127.0.0.1', 54404)|sad: sdwadswadwads
10/11/2020, 16:29:06|('127.0.0.1', 54404)|sad: pene
